English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example,English source URL,Vietnamese source URL
osteochondritis deformans juvenilis,dẹt đầu xương,,"  Osteochondritis deformans juvenilis, also known as Legg-Calvé-Perthes disease, affects the hip joint in children.  ","  Bệnh dẹt đầu xương, còn được gọi là bệnh Legg-Calvé-Perthes, ảnh hưởng đến khớp háng ở trẻ em.",osteochondritis deformans juvenilis en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary osteochondritis deformans juvenilis osteochondritis deformans juvenilis Legg - CalvÐ ¹- Perthes disease .,Hoại tử vô mạch làm dẹt đầu xương bàn chân.,https://medicine.en-academic.com/147497/osteochondritis_deformans_juvenilis,https://www.msdmanuals.com/vi-vn/chuy%C3%AAn-gia/r%E1%BB%91i-lo%E1%BA%A1n-m%C3%B4-c%C6%A1-x%C6%B0%C6%A1ng-v%C3%A0-m%C3%B4-li%C3%AAn-k%E1%BA%BFt/b%E1%BB%87nh-l%C3%BD-b%C3%A0n-ch%C3%A2n-v%C3%A0-c%E1%BB%95-ch%C3%A2n/b%E1%BB%87nh-freiberg
sarcotubules,tiểu quản cơ tương,n," The sarcotubules, which include the transverse tubules (T-tubules) and the sarcoplasmic reticulum, form an intricate network within the muscle fiber essential for excitation-contraction coupling and calcium regulation. "," Các tiểu quản cơ tương, bao gồm các ống ngang (ống T) và lưới cơ tương, tạo thành một mạng lưới phức tạp bên trong sợi cơ, cần thiết cho sự kết hợp kích thích-co cơ và điều hòa canxi.","Sarcotubules from terminal cisternae formed continuous three-dimensional networks at the I-band level, but intermittent straight sarcotubules, narrow two-dimensional networks, and some axial tubules traversed the A-band.",UNOBSERVED,https://pubmed.ncbi.nlm.nih.gov/9185987/,
allochroism,biến đổi màu sắc,n,"Allochroism refers to the property of changing color under different conditions, such as varying light or temperature.","Biến đổi màu sắc (Allochroism) đề cập đến đặc tính thay đổi màu sắc trong các điều kiện khác nhau, chẳng hạn như ánh sáng hoặc nhiệt độ thay đổi.",allochroism en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary allochroism allochroism A change or changeableness in color .,"Phenolphthalein: Một ví dụ điển hình Phản ứng biến đổi màu sắc rất hấp dẫn, và phenolphthalein là một chất nổi bật.",https://medicine.en-academic.com/10506/allochroism,https://editverse.com/vi/7-ph%E1%BA%A3n-%E1%BB%A9ng-h%C3%B3a-h%E1%BB%8Dc-t%E1%BA%A1o-ra-s%E1%BB%B1-thay-%C4%91%E1%BB%95i-m%C3%A0u-s%E1%BA%AFc-ngo%E1%BA%A1n-m%E1%BB%A5c/
CDK,kinase phụ thuộc cyclin,n, CDK activity is tightly regulated throughout the cell cycle to ensure proper cell division. ,Hoạt động của kinase phụ thuộc cyclin được điều chỉnh chặt chẽ trong suốt chu kỳ tế bào để đảm bảo sự phân chia tế bào thích hợp.,"[ 18 ] Palbociclib , one of the first CDK4/6 inhibitors approved by the FDA, has become essential in the treatment of HR+/HER2- advanced or metastatic breast cancer, often in combination with endocrine therapy.",Cyclin-dependent Kinases Skip to Content Home Protein Expression CDKs Cyclin-dependent Kinases Cyclin-dependent kinases are typical serine/threonine kinases that display the 11 subdomains shared by all kinases.,https://en.wikipedia.org/wiki/Cyclin-dependent_kinase,https://www.sigmaaldrich.com/VN/vi/technical-documents/technical-article/protein-biology/protein-expression/cdks
lyssa,vách lưỡi,n,"  The lyssa is a cartilaginous or fibrous rod found in the tongue of some mammals, such as dogs.  ","  Vách lưỡi là một thanh sụn hoặc sợi được tìm thấy ở lưỡi của một số động vật có vú, chẳng hạn như chó.","Lyssa Ochoa, Board Certified Vascular Surgeon, to serve the need for compassionate, personalized, advanced vascular care to the growing population of San Antonio.",Các cân gồm có cân lưỡi và vách lưỡi.,https://thesaveclinic.com/about/,https://ykhoa.org/giai-phau-so-20-o-mieng/
myography,chụp X quang mô cơ,n," Soft tissue myography, such as ultrasound or MRI of muscles, can help diagnose injuries or diseases. ","Chụp X quang mô cơ mô mềm, chẳng hạn như siêu âm hoặc MRI cơ, có thể giúp chẩn đoán chấn thương hoặc bệnh tật.",Myography - an overview | ScienceDirect Topics Skip to Main content Myography In subject area: Medicine and Dentistry Add to Mendeley Discover more topics Chapters and Articles You might find these chapters and articles relevant to this topic.,UNOBSERVED,https://www.sciencedirect.com/topics/medicine-and-dentistry/myography,
Danysz effect,hiệu ứng Danysz,n,  The Danysz effect refers to the observation that the toxicity of diphtheria toxin mixed with antitoxin varies depending on whether the toxin is added in divided doses or all at once.  ,  Hiệu ứng Danysz đề cập đến hiện tượng độc tính của độc tố bạch hầu trộn với kháng độc tố thay đổi tùy thuộc vào việc độc tố được thêm vào thành nhiều liều nhỏ hay tất cả cùng một lúc.,"DANYSZ EFFECT Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",UNOBSERVED,https://www.merriam-webster.com/medical/Danysz%20effect,
amarine,amarin,n,"Amarine, a derivative of hydrobenzamide, has been investigated for potential biological activities.","Amarin, một dẫn xuất của hydrobenzamide, đã được nghiên cứu về các hoạt tính sinh học tiềm năng.",AMARINE is also used to associated treatment for these conditions: Type 2 Diabetes Mellitus How AMARINE works ATP-sensitive potassium channels on pancreatic beta cells that are gated by intracellular ATP and ADP.,"AMARIN, VASCEPA, VAZKEPA and REDUCE-IT names and logos are trademarks of Amarin Pharmaceuticals Ireland Limited.",https://www.medicinesfaq.com/brand/AMARINE,https://www.amarincorp.com/about-amarin/company-profile
macrosis,gia tăng kích cở,n,  Macrosis is a general term for the enlargement or overgrowth of a body part or organism.  ,  Gia tăng kích cở là một thuật ngữ chung cho sự phì đại hoặc phát triển quá mức của một bộ phận cơ thể hoặc sinh vật.,UNOBSERVED,UNOBSERVED,,
kaolinosis,bụi phổi kaolin,n, Kaolinosis is a type of pneumoconiosis caused by the inhalation of kaolin dust. , Bụi phổi kaolin (Kaolinosis) là một loại bệnh bụi phổi do hít phải bụi kaolin.,Kaolinosis | About the Disease | GARD RARE DISEASE DAY at NIH Feb.,UNOBSERVED,https://rarediseases.info.nih.gov/diseases/8355/kaolinosis,
