English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
osteochondritis deformans juvenilis,dẹt đầu xương,,"  Osteochondritis deformans juvenilis, also known as Legg-Calvé-Perthes disease, affects the hip joint in children.  ","  Bệnh dẹt đầu xương, còn được gọi là bệnh Legg-Calvé-Perthes, ảnh hưởng đến khớp háng ở trẻ em.",UNOBSERVED,UNOBSERVED
sarcotubules,tiểu quản cơ tương,n," The sarcotubules, which include the transverse tubules (T-tubules) and the sarcoplasmic reticulum, form an intricate network within the muscle fiber essential for excitation-contraction coupling and calcium regulation. "," Các tiểu quản cơ tương, bao gồm các ống ngang (ống T) và lưới cơ tương, tạo thành một mạng lưới phức tạp bên trong sợi cơ, cần thiết cho sự kết hợp kích thích-co cơ và điều hòa canxi.",UNOBSERVED,UNOBSERVED
allochroism,biến đổi màu sắc,n,"Allochroism refers to the property of changing color under different conditions, such as varying light or temperature.","Biến đổi màu sắc (Allochroism) đề cập đến đặc tính thay đổi màu sắc trong các điều kiện khác nhau, chẳng hạn như ánh sáng hoặc nhiệt độ thay đổi.",UNOBSERVED,UNOBSERVED
CDK,kinase phụ thuộc cyclin,n, CDK activity is tightly regulated throughout the cell cycle to ensure proper cell division. ,Hoạt động của kinase phụ thuộc cyclin được điều chỉnh chặt chẽ trong suốt chu kỳ tế bào để đảm bảo sự phân chia tế bào thích hợp.,UNOBSERVED,UNOBSERVED
lyssa,vách lưỡi,n,"  The lyssa is a cartilaginous or fibrous rod found in the tongue of some mammals, such as dogs.  ","  Vách lưỡi là một thanh sụn hoặc sợi được tìm thấy ở lưỡi của một số động vật có vú, chẳng hạn như chó.",UNOBSERVED,UNOBSERVED
myography,chụp X quang mô cơ,n," Soft tissue myography, such as ultrasound or MRI of muscles, can help diagnose injuries or diseases. ","Chụp X quang mô cơ mô mềm, chẳng hạn như siêu âm hoặc MRI cơ, có thể giúp chẩn đoán chấn thương hoặc bệnh tật.",UNOBSERVED,UNOBSERVED
Danysz effect,hiệu ứng Danysz,n,  The Danysz effect refers to the observation that the toxicity of diphtheria toxin mixed with antitoxin varies depending on whether the toxin is added in divided doses or all at once.  ,  Hiệu ứng Danysz đề cập đến hiện tượng độc tính của độc tố bạch hầu trộn với kháng độc tố thay đổi tùy thuộc vào việc độc tố được thêm vào thành nhiều liều nhỏ hay tất cả cùng một lúc.,UNOBSERVED,UNOBSERVED
amarine,amarin,n,"Amarine, a derivative of hydrobenzamide, has been investigated for potential biological activities.","Amarin, một dẫn xuất của hydrobenzamide, đã được nghiên cứu về các hoạt tính sinh học tiềm năng.",UNOBSERVED,UNOBSERVED
macrosis,gia tăng kích cở,n,  Macrosis is a general term for the enlargement or overgrowth of a body part or organism.  ,  Gia tăng kích cở là một thuật ngữ chung cho sự phì đại hoặc phát triển quá mức của một bộ phận cơ thể hoặc sinh vật.,UNOBSERVED,UNOBSERVED
kaolinosis,bụi phổi kaolin,n, Kaolinosis is a type of pneumoconiosis caused by the inhalation of kaolin dust. , Bụi phổi kaolin (Kaolinosis) là một loại bệnh bụi phổi do hít phải bụi kaolin.,UNOBSERVED,UNOBSERVED
hydroperinephrosis,tích dịch quanh thận,n," Hydroperinephrosis, the accumulation of fluid in the perinephric space, can occur secondary to renal inflammation or trauma. "," Tích dịch quanh thận, sự tích tụ dịch trong khoang quanh thận, có thể xảy ra thứ phát sau viêm hoặc chấn thương thận.",UNOBSERVED,UNOBSERVED
acorea,không đồng tử,n, Acorea is the absence of a pupil in the eye. , Không đồng tử là sự vắng mặt của đồng tử trong mắt.,UNOBSERVED,UNOBSERVED
hepatonephritis,viêm gan thận,n, Hepatonephritis is inflammation of both the liver and the kidneys. , Viêm gan thận là tình trạng viêm cả gan và thận.,UNOBSERVED,UNOBSERVED
paralgesic,loạn cảm đau,a, The paralgesic state made even light touch feel uncomfortable for the patient. , Tình trạng loạn cảm đau khiến ngay cả việc chạm nhẹ cũng gây khó chịu cho bệnh nhân.,UNOBSERVED,UNOBSERVED
magnesemia,magnesi huyết,," Hypomagnesemia, a low level of magnesemia, can cause muscle cramps and weakness. "," Giảm magiê huyết, một mức độ thấp của magnesi huyết, có thể gây ra chuột rút và yếu cơ.",UNOBSERVED,UNOBSERVED
wart,mụn cóc,n, The podiatrist treated the plantar wart on the patient's foot. , Bác sĩ chuyên khoa chân đã điều trị mụn cóc ở lòng bàn chân của bệnh nhân.,UNOBSERVED,UNOBSERVED
liposuction,hút mỡ,n,  Liposuction is a cosmetic surgery procedure that removes excess fat deposits from specific areas of the body.  ,  Hút mỡ (liposuction) là một thủ thuật phẫu thuật thẩm mỹ loại bỏ mỡ thừa tích tụ ở các vùng cụ thể của cơ thể.,UNOBSERVED,UNOBSERVED
typhoidal,giống thương hàn,a," The patient's persistent high fever, abdominal discomfort, and relative bradycardia raised suspicion for a typhoidal illness, prompting blood cultures to confirm or exclude typhoid fever. "," Sốt cao dai dẳng, khó chịu ở bụng và nhịp tim chậm tương đối của bệnh nhân làm dấy lên nghi ngờ về một bệnh giống thương hàn, thúc đẩy việc cấy máu để xác nhận hoặc loại trừ bệnh thương hàn.",UNOBSERVED,UNOBSERVED
metoserpate hydrochloride,thuốc an thần cho gia cầm,n,"  Metoserpate hydrochloride was investigated as an antihypertensive and tranquilizing agent, particularly in poultry.  ","  Metoserpate hydrochloride, một thuốc an thần cho gia cầm, đã được nghiên cứu như một chất chống tăng huyết áp và an thần, đặc biệt là ở gia cầm.",UNOBSERVED,UNOBSERVED
isoantibody,đồng loại kháng thể,n,  An isoantibody is an antibody produced by an individual against antigens of another individual of the same species.  ,  Đồng loại kháng thể (isoantibody) là một kháng thể được tạo ra bởi một cá thể chống lại các kháng nguyên của một cá thể khác cùng loài.,UNOBSERVED,UNOBSERVED
oophorocystosis,hình thành u nang buồng trúng,n,  Oophorocystosis refers to the condition of having multiple ovarian cysts. ,  Hình thành u nang buồng trúng (Oophorocystosis) đề cập đến tình trạng có nhiều u nang buồng trứng.,UNOBSERVED,UNOBSERVED
Rhodococcus bronchialis,vi khuẩn Rhodococcus bronchialis,,  Rhodococcus bronchialis is a species of bacteria that has been isolated from respiratory samples.  ,  Vi khuẩn Rhodococcus bronchialis là một loài vi khuẩn đã được phân lập từ các mẫu hô hấp.,UNOBSERVED,UNOBSERVED
eminence of scapha,lồi thuyền,n,  The eminence of scapha is a longitudinal prominence on the cranial surface of the auricle corresponding to the scapha.  ,  Lồi thuyền là một chỗ lồi dọc trên bề mặt sọ của loa tai tương ứng với thuyền tai.,UNOBSERVED,UNOBSERVED
